id,nombre_visual,tipo,descripcion_rapida,items_excel_relacionados,catalogos_excel,piezas_que_la_componen,visible_en_foto,nivel_confianza,busqueda_publica_sugerida
caja_1,Caja metálica izquierda / junction box,Caja de paso / pull box exterior,Recibe o distribuye canalización horizontal; visible como caja gris cuadrada/rectangular al extremo izquierdo.,"6, 9, 12, 13, 14, 25, 28-31",EMT2; 106S; 326; 386DC; CHB6; 6672GRTNK; THHN20BKPCS; THHN4BKPCS; THHN6BKPCS; THHN10STBK500,Conduit 2in; locknuts 2in; plastic bushings 2in; grounding bushing 2in; commercial hub 2in; conductores THHN; posible caja/gutter si corresponde al tramo,Sí,Medio,NEMA 3R pull box 2 inch hub outdoor electrical enclosure / junction box
caja_2,Disconnect / breaker pequeño Eaton,Enclosed breaker / disconnect switch,Caja gris con etiqueta Eaton y manija negra; funciona como corte/protección de un circuito.,"9, 12, 13, 14, 28-31, 36-37",106S; 326; 386DC; CHB6; THHN20BKPCS; THHN4BKPCS; THHN6BKPCS; THHN10STBK500; BR250; BR260,Gabinete tipo disconnect/enclosed breaker; breaker BR 50A/60A; hubs 2in; locknuts; bushings; grounding bushing; conductores THHN,Sí,Alto para disconnect; medio para breaker interno exacto,Eaton outdoor disconnect switch 50A 60A Type BR enclosure
caja_3,Caja metálica gris central izquierda,Caja de paso / junction box,Caja gris rectangular/cuadrada antes de la caja blanca; distribuye varias bajadas hacia el wireway inferior.,"6, 10, 11, 14, 24, 28-31",EMT2; 255RT2; 1525DC; CHB6; EMT1; THHN20BKPCS; THHN4BKPCS; THHN6BKPCS; THHN10STBK500,Conduit EMT 2in; rain-tight compression connector 2in; offset nipple 2in; commercial hub; conduit 1in/2in; conductores THHN,Sí,Medio,outdoor electrical junction box gray NEMA 3R 2 inch conduit hubs
caja_4,Caja blanca estanca,Weatherproof enclosure / caja NEMA exterior,"Caja blanca plástica o metálica con tapa, usada para proteger conexiones o controles en exterior.","15-23, 24, 32-35",CHB3; 252RT2; 323; 383DC; 262RT; 922S; LB35; 350; GASK035N; EMT1; TA114; 104S; EMT114; 324,Hubs 1in; conectores rain-tight 1in; bushings; grounding bushings; couplings 1in; straps; condulet LB; tapa y gasket; EMT 1in; adaptador PVC 1-1/4in,Sí,Medio,outdoor NEMA 3R weatherproof enclosure 1 inch conduit hubs
caja_5,Panel grande central,Panel / gabinete principal de control o distribución,Gabinete grande blanco/gris al centro; punto principal del sistema donde llegan y salen conduits.,"25-37, 6, 10, 14, 15",6672GRTNK; GBK5; GBKP10; THHN20BKPCS; THHN4BKPCS; THHN6BKPCS; THHN10STBK500; TA114; 104S; EMT114; 324; BR250; BR260; EMT2; 255RT2; CHB6; CHB3,Gabinete/panel; ground bar kits; conductores THHN; breakers BR250/BR260; EMT 2in y 1-1/4in; hubs 2in/1in; conectores rain-tight; locknuts; bushings,Sí,Alto para panel visible; medio para piezas internas exactas,Eaton outdoor load center enclosure NEMA 3R 50A 60A Type BR breakers
caja_6,Caja inferior / wireway 2 pies,Wireway / trough horizontal,Canaleta rectangular inferior marcada 2'; reúne bajadas verticales de varias cajas.,"25, 2, 6, 9-14, 20",6672GRTNK; 2150; EMT2; 106S; 255RT2; 1525DC; 326; 386DC; CHB6; 922S,Wireway/gutter; hanger/soporte; EMT 2in; locknuts; compression connectors; offset nipple; bushings; hubs; straps,Sí,Alto para wireway; medio para longitud exacta porque Excel lista 6x6x72,6x6 NEMA 3R wireway gutter outdoor slip-on cover 2 ft section
caja_7,Disconnect vertical derecho,Disconnect switch / enclosed breaker,Caja gris vertical con manija negra a la derecha del panel grande; corte manual del circuito.,"2-14, 28-31, 36-37",2150; CPL2; PVC290; PVC280; EMT2; LB2; TA2; 106S; 255RT2; 1525DC; 326; 386DC; CHB6; THHN20BKPCS; THHN4BKPCS; THHN6BKPCS; THHN10STBK500; BR250; BR260,Disconnect/enclosed breaker; conduit EMT/PVC 2in; codos 90°; couplings; male adapters; locknuts; connectors; bushings; conductores; breakers si aplica,Sí,Alto para disconnect; medio para accesorios asignados,outdoor AC disconnect switch 2 inch conduit Eaton 60A 240V
caja_8,Medidor eléctrico / meter base,Meter socket / base de medidor,Caja con medidor circular de la compañía eléctrica; mide consumo y conecta con canalizaciones superiores/inferiores.,"3-14, 28-31",CPL2; PVC290; PVC280; EMT2; LB2; TA2; 106S; 255RT2; 1525DC; 326; 386DC; CHB6; THHN20BKPCS; THHN4BKPCS; THHN6BKPCS; THHN10STBK500,Meter base/socket; conduit 2in; PVC elbow 90°; couplings; LB condulet; male adapters; locknuts; bushings; grounding bushing; conductores,Sí,Medio; el medidor como producto no aparece explícito en las filas visibles del Excel,outdoor electric meter socket 200A ringless NEMA 3R 2 inch hub
soporte_1,Soporte/canaleta inferior izquierda 2 pies,Wireway soporte horizontal,Base rectangular inferior que sostiene y conecta las bajadas de las cajas 1 a 4.,"2, 20, 25",2150; 922S; 6672GRTNK,Conduit hanger; one-hole EMT strap; sección de wireway/gutter,Sí,Medio,wireway support gutter 2 ft electrical outdoor
soporte_2,Soporte/canaleta inferior central-derecha 4 pies,Wireway soporte horizontal,"Base rectangular larga marcada 4'; conecta el panel central, disconnect y transición hacia medidor/lateral derecho.","2, 20, 25, 6, 10, 19",2150; 922S; 6672GRTNK; EMT2; 255RT2; 262RT,Sección de wireway/gutter; hanger; straps; EMT 2in; compression connectors; couplings,Sí,Medio-alto,6x6 NEMA 3R wireway gutter 4 ft outdoor electrical
